home_team,away_team,start_date_pred,start_date_actual,pred_spread,pred_total,pred_home_points,pred_away_points,pred_home_win_prob,pred_home_ml,pred_away_ml,actual_home_points,actual_away_points,actual_margin,actual_total,spread_error,total_error,brier
DARTMOUTH,COLUMBIA,2025-10-24T22:00Z,2025-10-24T22:00Z,17.448441440918526,53.03339144510328,35.2409164430109,17.792475002092374,0.8622595966712595,-626.0033917668535,626.0033917668535,49.0,3.0,46.0,52.0,-28.55155855908147,1.0333914451032769,0.0189724187091641
SACRAMENTO,MONTANA,2025-10-25T02:35Z,2025-10-25T02:35Z,-10.225731926858298,59.60016581225001,24.687216942695855,34.91294886955416,0.2613762581495079,282.5902195860487,-282.5902195860487,35.0,49.0,-14.0,84.0,3.7742680731417018,-24.39983418774999,0.0683175483242381
YALE,PENN,2025-10-25T16:00Z,2025-10-25T16:00Z,13.639470092872887,52.382081408796424,33.010775750834654,19.37130565796177,0.8030224933018397,-407.6721787997633,407.6721787997633,35.0,13.0,22.0,48.0,-8.360529907127113,4.382081408796424,0.0388001381450237
LIUSHAR,NEWHVN,2025-10-25T16:00Z,2025-10-25T16:00Z,4.788999006680331,49.07990287253613,26.934450939608233,22.145451932927894,0.617649167362443,-161.53990383693846,161.53990383693846,38.0,16.0,22.0,54.0,-17.21100099331967,-4.920097127463869,0.1461921592186331
MERCYHURST,CORNELL,2025-10-25T16:00Z,2025-10-25T16:00Z,8.316702805838647,53.595349788311054,30.95602629707485,22.639323491236205,0.6983963931381781,-231.56102156899763,231.56102156899763,15.0,22.0,-7.0,37.0,15.316702805838649,16.595349788311054,0.4877575219484166
WAGNER,DUQUESNE,2025-10-25T16:00Z,2025-10-25T16:00Z,5.092684552427713,50.19689232541727,27.64478843892249,22.552103886494777,0.6248685714718496,-166.57323912410035,166.57323912410035,24.0,13.0,11.0,37.0,-5.907315447572287,13.196892325417268,0.1407235886695708
BUCKNELL,GEORGETOWN,2025-10-25T16:00Z,2025-10-25T16:00Z,15.16215611011965,60.341839423421234,37.75199776677045,22.58984165665079,0.828342287193772,-482.5546569694936,482.5546569694936,24.0,31.0,-7.0,55.0,22.16215611011965,5.341839423421234,0.6861509447534094
MARIST,DRAKE,2025-10-25T16:00Z,2025-10-25T16:00Z,-0.4876797979260336,43.36110433942495,21.436712270749457,21.92439206867549,0.4878421268650597,104.98434738019384,-104.98434738019388,17.0,31.0,-14.0,48.0,13.512320202073967,-4.638895660575052,0.2379899407442249
DAYTON,PRESBYTERN,2025-10-25T16:00Z,2025-10-25T16:00Z,5.205579287858117,52.32495234951594,28.765265818687027,23.559686530828913,0.6275414137469408,-168.48622555866413,168.48622555866413,35.0,19.0,16.0,54.0,-10.794420712141882,-1.6750476504840606,0.1387253984736275
PRINCETON,HARVARD,2025-10-25T16:00Z,2025-10-25T16:00Z,-1.1943505390658435,53.609988236273026,26.20781884860359,27.402169387669435,0.4702478252351477,112.65382769180258,-112.65382769180258,14.0,35.0,-21.0,49.0,19.805649460934156,4.609988236273026,0.221133017138386
DAVIDSON,SAN DIEGO,2025-10-25T16:00Z,2025-10-25T16:00Z,0.2306569828664786,62.49049491990024,31.360575951383357,31.12991896851688,0.5057509772228734,-102.3271577515963,102.3271577515963,28.0,40.0,-12.0,68.0,12.230656982866478,-5.509505080099757,0.2557840509618914
HOLY CROSS,COLGATE,2025-10-25T17:00Z,2025-10-25T17:00Z,20.24190501907532,55.72608574707506,37.98399538307519,17.74209036399987,0.8970856749768785,-871.6820275266176,871.6820275266176,28.0,29.0,-1.0,57.0,21.24190501907532,-1.2739142529249392,0.8047627082487218
VALPO,MOREHEAD,2025-10-25T17:00Z,2025-10-25T17:00Z,6.509000748552385,55.302999707924606,30.906000228238497,24.39699947968611,0.6579271645648924,-192.335402408679,192.335402408679,13.0,17.0,-4.0,30.0,10.509000748552385,25.30299970792461,0.432868153872399
CORNELL,BROWN,2025-10-25T17:00Z,2025-10-25T17:00Z,7.159044435066707,50.89013964883221,29.024592041949457,21.865547606882753,0.6727213999242448,-205.5500725585266,205.5500725585266,30.0,24.0,6.0,54.0,1.1590444350667068,-3.10986035116779,0.107111282067546
W CAROLINA,DELWARE ST,2025-10-25T17:00Z,2025-10-25T17:00Z,6.147886422740829,56.31642022932941,31.232153326035117,25.084266903294292,0.6496007882069624,-185.3887698213909,185.3887698213909,26.0,35.0,-9.0,61.0,15.147886422740829,-4.68357977067059,0.4219811840391068
NEW HAMP,WM & MARY,2025-10-25T17:00Z,2025-10-25T17:00Z,0.8859815779125535,51.16785078887517,26.026916183393865,25.14093460548131,0.5220796851793369,-109.2399023413023,109.2399023413023,34.0,24.0,10.0,58.0,-9.114018422087447,-6.832149211124829,0.2284078273182817
TENN TECH,SCAR STATE,2025-10-25T17:00Z,2025-10-25T17:00Z,8.431781947943193,47.03530027879979,27.73354111337149,19.301759165428297,0.7008984737728912,-234.3346363404032,234.3346363404032,42.0,23.0,19.0,65.0,-10.568218052056809,-17.964699721200212,0.0894617229913858
MAINE,ELON,2025-10-25T17:00Z,2025-10-25T17:00Z,10.322191159560775,43.3523784906727,26.83728482511674,16.51509366555596,0.7405807788611876,-285.4764483565043,285.4764483565043,35.0,14.0,21.0,49.0,-10.677808840439225,-5.647621509327301,0.067298332296268
W CAROLINA,CAMPBELL,2025-10-25T17:00Z,2025-10-25T17:00Z,10.374844877645264,53.58894326522818,31.98189407143672,21.60704919379146,0.7416458542837912,-287.0655906170199,287.0655906170199,28.0,24.0,4.0,52.0,6.374844877645264,1.5889432652281812,0.066746864608752
RHODE ISLD,BRYANT,2025-10-25T17:00Z,2025-10-25T17:00Z,9.231653840336858,45.1337865061888,27.18272017326283,17.95106633292597,0.718022964641104,-254.63880905309028,254.63880905309028,38.0,17.0,21.0,55.0,-11.768346159663142,-9.866213493811202,0.079511048469792
STETSON,STTHOM,2025-10-25T17:00Z,2025-10-25T17:00Z,1.6825736747945044,62.48832708368822,32.085450379241365,30.402876704446857,0.5418759140577698,-118.28147235334418,118.28147235334418,10.0,52.0,-42.0,62.0,43.682573674794504,0.488327083688219,0.2936295062359435
FORDHAM,LEHIGH,2025-10-25T17:00Z,2025-10-25T17:00Z,5.0734860962758805,52.80538816225001,28.939437129262945,23.865951032987063,0.6244134367492967,-166.25020643576698,166.25020643576698,6.0,27.0,-21.0,33.0,26.07348609627588,19.80538816225001,0.389892139993068
YNGTOWN ST,MURRAY ST,2025-10-25T18:00Z,2025-10-25T18:00Z,14.344693929388535,67.04992824285469,40.697311086121616,26.352617156733075,0.8150186862348328,-440.5951442584598,440.5951442584598,51.0,17.0,34.0,68.0,-19.655306070611463,-0.9500717571453094,0.0342180864422872
S DAKOTA,ILL STATE,2025-10-25T18:00Z,2025-10-25T18:00Z,8.396729268853509,60.5217849110807,34.4592570899671,26.0625278211136,0.7001373475058839,-233.4860115731224,233.4860115731224,13.0,21.0,-8.0,34.0,16.39672926885351,26.5217849110807,0.4901923053725747
NORFOLK,SCAR STATE,2025-10-25T18:00Z,2025-10-25T18:00Z,0.532542768789309,49.331104494348224,24.93182363156877,24.399280862779456,0.5132759128974886,-105.45521097035518,105.45521097035518,20.0,51.0,-31.0,71.0,31.53254276878931,-21.668895505651776,0.2634521627607503
W GEORGIA,CENT ARK,2025-10-25T18:00Z,2025-10-25T18:00Z,11.383677818523632,54.53365622095646,32.95866701974005,21.57498920121641,0.7616065377183225,-319.47459063220225,319.47459063220225,18.0,17.0,1.0,35.0,10.383677818523632,19.53365622095646,0.0568314428586455
HAMPTON,MONMOUTH,2025-10-25T18:00Z,2025-10-25T18:00Z,-2.6347694875232675,68.20062282356508,32.782926668020906,35.41769615554418,0.4346006482581572,130.0962973727526,-130.0962973727526,10.0,28.0,-18.0,38.0,15.365230512476732,30.200622823565084,0.1888777234664104
FURMAN,CITADEL,2025-10-25T18:00Z,2025-10-25T18:00Z,14.187910594876788,54.49919106184127,34.34355082835903,20.155640233482245,0.8123917392562474,-433.02556936224903,433.02556936224903,24.0,14.0,10.0,38.0,4.187910594876788,16.499191061841273,0.0351968594992958
CHARLES SO,S ILLINOIS,2025-10-25T18:00Z,2025-10-25T18:00Z,11.120714209110783,63.383496755283815,37.2521054821973,26.13139127308651,0.756486336111025,-310.65457437982997,310.65457437982997,17.0,16.0,1.0,33.0,10.120714209110783,30.383496755283815,0.0592989045006326
TENN STATE,W ILLINOIS,2025-10-25T18:30Z,2025-10-25T18:30Z,2.623684151983819,54.75372101057288,28.68870258127835,26.065018429294533,0.5651266579598068,-129.95201207517908,129.95201207517908,16.0,17.0,-1.0,33.0,3.623684151983819,21.75372101057288,0.3193681395368204
HOUCHR,SE LA,2025-10-25T19:00Z,2025-10-25T19:00Z,11.118019191280716,38.872770966580426,24.99539507893057,13.877375887649857,0.7564335552918549,-310.56558558312724,310.56558558312724,14.0,38.0,-24.0,52.0,35.118019191280716,-13.127229033419574,0.5721917235714756
ST FRANCIS,ROB MORRIS,2025-10-25T19:00Z,2025-10-25T19:00Z,9.355439409799128,51.68573944355312,30.520589426676125,21.165150016876993,0.7206303044169599,-257.94863072496673,257.94863072496673,14.0,24.0,-10.0,38.0,19.35543940979913,13.685739443553118,0.5193080356440802
MERCER,MAINE,2025-10-25T19:00Z,2025-10-25T19:00Z,8.340516541021763,48.13203115393287,28.236273847477317,19.89575730645555,0.698914929689652,-232.1320445976397,232.1320445976397,62.0,0.0,62.0,62.0,-53.65948345897824,-13.867968846067129,0.0906522195637872
S ILLINOIS,N IOWA,2025-10-25T19:00Z,2025-10-25T19:00Z,1.0271553867277303,54.39780796098864,27.712481673858186,26.685326287130454,0.5255934012091358,-110.78964806744531,110.78964806744531,31.0,17.0,14.0,48.0,-12.972844613272269,6.3978079609886365,0.225061620976316
TENN STATE,LAMAR,2025-10-25T19:00Z,2025-10-25T19:00Z,1.7634805578296318,43.957415616299485,22.86044808706456,21.096967529234927,0.5438815719071737,-119.24130629435705,119.24130629435705,14.0,41.0,-27.0,55.0,28.76348055782963,-11.042584383700516,0.2958071642602181
PRVIEW A&M,ELON,2025-10-25T19:00Z,2025-10-25T19:00Z,3.9950687076632585,41.16352893952825,22.579298823595753,18.584230115932495,0.5985871477483753,-149.12007535153666,149.12007535153666,38.0,0.0,38.0,38.0,-34.00493129233674,3.1635289395282484,0.1611322779527846
BETH COOK,ARKAPB,2025-10-25T19:00Z,2025-10-25T19:00Z,8.313883485148226,66.60054920543561,37.45721634529192,29.143332860143698,0.6983349767370948,-231.49351860009511,231.49351860009511,31.0,14.0,17.0,45.0,-8.686116514851774,21.600549205435613,0.0910017862602091
ALCORN ST,MS VLY ST,2025-10-25T19:00Z,2025-10-25T19:00Z,19.88287861707929,44.22437537453921,32.053626995809246,12.17074837872996,0.893007095684577,-834.641419819698,834.641419819698,32.0,10.0,22.0,42.0,-2.117121382920711,2.224375374539207,0.0114474815738492
E KENTUCKY,TENN STATE,2025-10-25T19:00Z,2025-10-25T19:00Z,10.62848245288421,38.885710553432205,24.75709650315821,14.128614050273995,0.7467444894561077,-294.8581406392292,294.8581406392292,7.0,31.0,-24.0,38.0,34.628482452884214,0.8857105534322045,0.557627332533063
LNDNWD,GARD-WEBB,2025-10-25T19:00Z,2025-10-25T19:00Z,4.566672080689395,65.57742296758754,35.07204752413847,30.50537544344907,0.6123376595072401,-157.95644702781652,157.95644702781652,20.0,48.0,-28.0,68.0,32.56667208068939,-2.4225770324124625,0.3749574092508047
N COLORADO,UC DAVIS,2025-10-25T19:00Z,2025-10-25T19:00Z,2.6033296005864877,60.37547010889051,31.4893998547385,28.88607025415201,0.5646258654615564,-129.68750797750934,129.68750797750934,16.0,27.0,-11.0,43.0,13.603329600586488,17.37547010889051,0.3188023679482115
WEBER ST,E WASHGTON,2025-10-25T19:00Z,2025-10-25T19:00Z,0.7142274331151848,55.32595262331496,28.020090028215073,27.30586259509989,0.5178025574537048,-107.38392860803928,107.38392860803928,20.0,23.0,-3.0,43.0,3.7142274331151848,12.32595262331496,0.2681194885055973
HOWARD,MORGAN ST,2025-10-25T19:30Z,2025-10-25T19:30Z,11.351345486618674,40.771523253283256,26.06143436995097,14.71008888333229,0.7609801859040711,-318.37535678052916,318.37535678052916,33.0,27.0,6.0,60.0,5.3513454866186745,-19.228476746716744,0.0571304715304524
SAMFORD,CHATTNOOGA,2025-10-25T19:30Z,2025-10-25T19:30Z,3.4242860016865295,57.93748739517554,30.680886698431035,27.256600696744503,0.5847334410985026,-140.80918113062006,140.80918113062006,13.0,49.0,-36.0,62.0,39.42428600168653,-4.062512604824462,0.3419131971388959
VILLANOVA,ALBANY,2025-10-25T19:30Z,2025-10-25T19:30Z,10.646680313392052,57.23058481705096,33.9386325652215,23.291952251829457,0.7471082588153881,-295.4261200131468,295.4261200131468,29.0,16.0,13.0,45.0,-2.353319686607948,12.23058481705096,0.0639542327593847
TENN STATE,WOFFORD,2025-10-25T19:30Z,2025-10-25T19:30Z,2.80105175478341,42.27100461581743,22.53602818530042,19.734976430517012,0.5694860088984387,-132.28048813031324,132.28048813031324,14.0,10.0,4.0,24.0,-1.1989482452165898,18.271004615817432,0.1853422965341952
ALAB A&M,ALABAMA ST,2025-10-25T19:30Z,2025-10-25T19:30Z,11.248913436169918,68.38693330819504,39.81792337218248,28.569009936012563,0.7589899139312708,-314.9203945410104,314.9203945410104,13.0,56.0,-43.0,69.0,54.248913436169914,-0.6130666918049599,0.5760656894493978
STNY BROOK,TOWSON,2025-10-25T19:30Z,2025-10-25T19:30Z,14.265972127068736,52.026931862674,33.14645199487137,18.88047986780263,0.8137025501919811,-436.77600043935576,436.77600043935576,27.0,19.0,8.0,46.0,6.265972127068736,6.026931862673997,0.0347067398049713
IDAHO,PORTLAND,2025-10-25T20:00Z,2025-10-25T20:00Z,14.15187525437652,58.42398811303394,36.28793168370523,22.13605642932871,0.8117847153212593,-431.3064779552157,431.3064779552157,45.0,6.0,39.0,51.0,-24.84812474562348,7.423988113033943,0.0354249933866994
AUSTINPEAY,N ALABAMA,2025-10-25T20:00Z,2025-10-25T20:00Z,5.374952297610301,54.346647975113825,29.860800136362062,24.485847838751763,0.6315398769540894,-171.39978995105497,171.39978995105497,56.0,28.0,28.0,84.0,-22.6250477023897,-29.653352024886175,0.1357628622750075
N DAKOTA,INDIANA ST,2025-10-25T20:00Z,2025-10-25T20:00Z,6.944691294236042,59.39405365135254,33.169372472794294,26.22468117855825,0.6678714667649892,-201.08825347216103,201.08825347216103,46.0,17.0,29.0,63.0,-22.055308705763956,-3.605946348647457,0.1103093625888396
NICHOLLS,MCNEESE,2025-10-25T20:00Z,2025-10-25T20:00Z,10.16878530937841,47.71467096497439,28.9417281371764,18.77294282779799,0.7374648168960942,-280.90132841517914,280.90132841517914,31.0,7.0,24.0,38.0,-13.83121469062159,9.714670964974388,0.0689247223674013
SOUTHERN U,FL A&M,2025-10-25T21:00Z,2025-10-25T21:00Z,4.587093809748508,58.5558368146099,31.571465312179203,26.984371502430697,0.6128264400793533,-158.28209968804566,158.28209968804566,35.0,43.0,-8.0,78.0,12.587093809748508,-19.444163185390103,0.3755562456603332
IDAHO ST,N ARIZONA,2025-10-25T22:00Z,2025-10-25T22:00Z,4.591579602221012,69.82867948268202,37.21012954245152,32.6185499402305,0.6129337806253556,-158.35372604089028,158.35372604089028,18.0,31.0,-13.0,49.0,17.59157960222101,20.82867948268202,0.3756878194316916
GRAMBLING,JACKSON ST,2025-10-25T22:00Z,2025-10-25T22:00Z,-8.274840584253873,56.00994740013401,23.86755340794007,32.142393992193945,0.3025161157955384,230.5609016465986,-230.5609016465986,26.0,24.0,2.0,50.0,-10.274840584253871,6.00994740013401,0.4864837687249428
East Texas A&M,STF AUSTIN,2025-10-25T23:00Z,2025-10-25T23:00Z,17.31666865765058,43.58090450990284,30.44878658377671,13.132117926126128,0.8604385537936118,-616.5302647560459,616.5302647560459,21.0,31.0,-10.0,52.0,27.31666865765058,-8.419095490097163,0.7403545048544422
CAL POLY,MONTANA ST,2025-10-26T00:00Z,2025-10-26T00:00Z,-4.280352746044724,55.55781915792298,25.63873320593913,29.919085951983853,0.3945336208958776,153.46382336929216,-153.46382336929216,17.0,34.0,-17.0,51.0,12.719647253955277,4.557819157922978,0.1556567780172121
UTAHTC,SOUTHERN U,2025-10-26T00:00Z,2025-10-26T00:00Z,9.928352821167154,54.52091319316896,32.22463300716806,22.2962801860009,0.7325429296367763,-273.8917795823966,273.8917795823966,7.0,28.0,-21.0,35.0,30.928352821167152,19.52091319316896,0.536619143760831
TXGV,INCAR WORD,2025-10-26T00:00Z,2025-10-26T00:00Z,5.296041035180888,46.433095961905856,25.86456849854337,20.56852746336249,0.6296787258483274,-170.03579588852617,170.03579588852617,56.0,28.0,28.0,84.0,-22.703958964819112,-37.566904038094144,0.1371378460893182
S DAK ST,N DAK ST,2025-10-26T00:00Z,2025-10-26T00:00Z,-1.7203847128913212,50.98729908912906,24.633457188118868,26.353841901010192,0.4571866255503218,118.72905813819166,-118.72905813819165,7.0,38.0,-31.0,45.0,29.27961528710868,5.98729908912906,0.2090196105820901
