wager_id,wager_date,description,description_short,bet_type,status,stake,to_win,to_return,placed_at,status_badge,device_context,details_extra,result_badge,result_context,source,ingested_at,status_badge_secondary,rotation,matchup,selection,market_type,bet_line,bet_price,bet_probability,status_normalized,net_profit,roi,record_win,record_loss,record_push,closing_line,closing_price,clv_line,clv_price,closing_provider,closing_timestamp,sport,market,odds_american,risk,payout,odds_decimal
908038838-1,2025-10-31,FOOTBALL - 318 Syracuse -130,syracuse -130 forgame,Money Line,Loss,15.0,11.54,26.54,10/31/25 10:24 GMT-5,Pending,Desktop - FOOTBALL - 318 Syracuse -130 for GAME,,,,betonline,2025-11-01 16:35:18.435499+00:00,,318.0,Syracuse,Syracuse,moneyline,,-130.0,0.5652173913043478,loss,-15.0,-1.0,0.0,1.0,0.0,,,,,,,,,,,,
908029338-2,2025-10-31,FOOTBALL - 309027 Brown +12½ -115,brown +12½ -115for game,Spread,Won,23.0,20.0,43.0,10/31/25 09:10 GMT-5,Pending,Desktop - FOOTBALL - 309027 Brown +12½ -115 for GAME,,,,betonline,2025-11-01 16:35:18.435618+00:00,,309027.0,Brown,Brown,spread,12.5,-115.0,0.5348837209302325,won,20.0,0.8695652173913043,1.0,0.0,0.0,-11.75,6.5,24.25,-121.5,SharpConsensus,1761950947.0,,,,,,
908029338-1,2025-10-31,FOOTBALL - 309030 Northern Arizona -4½ -115,northern arizona -4½ -115for game,Spread,Loss,23.0,20.0,43.0,10/31/25 09:10 GMT-5,Pending,Desktop - FOOTBALL - 309030 Northern Arizona -4½ -115 for GAME,,,,betonline,2025-11-01 16:35:18.435668+00:00,,309030.0,Northern Arizona,Northern Arizona,spread,-4.5,-115.0,0.5348837209302325,loss,-23.0,-1.0,0.0,1.0,0.0,-5.0,-129.0,0.5,14.0,SharpConsensus,1761963940.0,,,,,,
908026502-1,2025-10-31,FOOTBALL - 315 Memphis -13½ -110,memphis -13½ -110for game,Spread,Won,27.5,25.0,52.5,10/31/25 08:45 GMT-5,Pending,Desktop - FOOTBALL - 315 Memphis -13½ -110 for GAME,,,,betonline,2025-11-01 16:35:18.435710+00:00,,315.0,Memphis,Memphis,spread,-13.5,-110.0,0.5238095238095238,won,25.0,0.9090909090909091,1.0,0.0,0.0,-14.0,-110.75,0.5,0.75,SharpConsensus,1761951687.0,,,,,,
908025892-1,2025-10-31,FOOTBALL - 320 Louisiana Tech -17 -106,louisiana tech -17 -106for game,Spread,Won,31.8,30.0,61.8,10/31/25 08:39 GMT-5,Pending,Desktop - FOOTBALL - 320 Louisiana Tech -17 -106 for GAME,,,,betonline,2025-11-01 16:35:18.435747+00:00,,320.0,Louisiana Tech,Louisiana Tech,spread,-17.0,-106.0,0.5145631067961165,won,30.0,0.9433962264150944,1.0,0.0,0.0,-4.125,-109.5,-12.875,3.5,SharpConsensus,1761511212.0,,,,,,
908025881-1,2025-10-31,FOOTBALL - 320 Louisiana Tech -16½ -116 buying -½,louisiana tech -16½ -116 b ...for game,Spread,Won,23.2,20.0,43.2,10/31/25 08:39 GMT-5,Pending,Desktop - FOOTBALL - 320 Louisiana Tech -16½ -116 buying -½ for GAME,,,,betonline,2025-11-01 16:35:18.435783+00:00,,320.0,Louisiana Tech buying -.,Louisiana Tech buying -.,spread,-16.5,-116.0,0.5370370370370371,won,20.0,0.8620689655172414,1.0,0.0,0.0,-4.125,-109.5,-12.375,-6.5,SharpConsensus,1761511212.0,,,,,,
907890159-1,2025-10-30,FOOTBALL - 309025 Norfolk St +17½ -130,norfolk st +17½ -130for game,Spread,Won,19.0,14.62,33.62,10/30/25 05:41 GMT-5,,Mobile - FOOTBALL - 309025 Norfolk St +17½ -130 for GAME,10/30/25 09:46 GMT-5,,10/30/2025,betonline,2025-11-01 16:35:18.435815+00:00,Won,309025.0,Norfolk St,Norfolk St,spread,17.5,-130.0,0.5652173913043478,won,14.619999999999996,0.7694736842105262,1.0,0.0,0.0,-17.5,-102.0,35.0,-28.0,SharpConsensus,1761865106.0,,,,,,
907834828-1,2025-10-30,FOOTBALL - 314 UTSA +186,utsa +186 forgame,Money Line,Won,10.75,20.0,30.75,10/30/25 01:02 GMT-5,,Desktop - FOOTBALL - 314 UTSA +186 for GAME,10/30/25 10:21 GMT-5,,10/30/2025,betonline,2025-11-01 16:35:18.435846+00:00,Won,314.0,UTSA,UTSA,moneyline,,186.0,0.3496503496503496,won,20.0,1.8604651162790695,1.0,0.0,0.0,,,,,,,,,,,,
907834672-1,2025-10-30,FOOTBALL - 309 Baltimore Ravens -4 -117,baltimore ravens -4 -117 f ...1st half,Spread,Won,32.7,27.95,60.65,10/30/25 01:00 GMT-5,,Desktop - FOOTBALL - 309 Baltimore Ravens -4 -117 for 1ST HALF,10/30/25 08:44 GMT-5,,10/30/2025,betonline,2025-11-01 16:35:18.435876+00:00,Won,309.0,Baltimore Ravens,Baltimore Ravens,spread,-4.0,-117.0,0.5391705069124424,won,27.949999999999996,0.8547400611620793,1.0,0.0,0.0,,,,,,,,,,,,
907833837-3,2025-10-30,FOOTBALL - 312 Marshall/Coastal Carolina under 55 -115,marshall/coastal carolina  ...-115 for game for Game,Total,Lost,23.0,,,10/30/25 12:56 GMT-5,,Desktop - FOOTBALL - 312 Marshall/Coastal Carolina under 55 -115 for GAME,10/30/25 10:09 GMT-5,,10/30/2025,betonline,2025-11-01 16:35:18.435971+00:00,,312.0,Marshall/Coastal Carolina under,Under,total,55.0,-115.0,0.5348837209302325,lost,-23.0,-1.0,0.0,1.0,0.0,55.0,,0.0,,SharpConsensus,1761867192.0,,,,,,
907833837-2,2025-10-30,FOOTBALL - 313 Tulane/UTSA over 53½ -115,tulane/utsa over 53½-115 for game for Game,Total,Won,23.0,20.0,43.0,10/30/25 12:56 GMT-5,,Desktop - FOOTBALL - 313 Tulane/UTSA over 53½ -115 for GAME,10/30/25 10:21 GMT-5,,10/30/2025,betonline,2025-11-01 16:35:18.436013+00:00,Won,313.0,Tulane/UTSA over,Over,total,53.5,-115.0,0.5348837209302325,won,20.0,0.8695652173913043,1.0,0.0,0.0,55.0,,1.5,,SharpConsensus,1761867192.0,,,,,,
907833837-1,2025-10-30,FOOTBALL - 309026 Norfolk St/Delaware St under 56½ +104,norfolk st/delaware st und ...+104 for game for Game,Total,Won,10.0,10.4,20.4,10/30/25 12:56 GMT-5,,Desktop - FOOTBALL - 309026 Norfolk St/Delaware St under 56½ +104 for GAME,10/30/25 09:46 GMT-5,,10/30/2025,betonline,2025-11-01 16:35:18.436054+00:00,Won,309026.0,Norfolk St/Delaware St under,Under,total,56.5,104.0,0.4901960784313725,won,10.4,1.0399999999999998,1.0,0.0,0.0,57.5,,-1.0,,SharpConsensus,1761865106.0,,,,,,
907625945-1,2025-10-29,FOOTBALL - 308 Missouri St -3 -115,missouri st -3 -115for game,Spread,Won,23.0,20.0,43.0,10/29/25 02:24 GMT-5,,Desktop - FOOTBALL - 308 Missouri St -3 -115 for GAME,10/29/25 10:34 GMT-5,,10/29/2025,betonline,2025-11-01 16:35:18.436103+00:00,Won,308.0,Missouri St,Missouri St,spread,-3.0,-115.0,0.5348837209302325,won,20.0,0.8695652173913043,1.0,0.0,0.0,-3.375,-110.75,0.375,-4.25,SharpConsensus,1761781729.0,,,,,,
907625945-2,2025-10-29,FOOTBALL - 308 Florida International/Missouri St under 50½ -115,florida international/miss ...-115 for game for Game,Total,Won,23.0,20.0,43.0,10/29/25 02:24 GMT-5,,Desktop - FOOTBALL - 308 Florida International/Missouri St under 50½ -115 for GAME,10/29/25 10:34 GMT-5,,10/29/2025,betonline,2025-11-01 16:35:18.436140+00:00,Won,308.0,Florida International/Missouri St under,Under,total,50.5,-115.0,0.5348837209302325,won,20.0,0.8695652173913043,1.0,0.0,0.0,51.25,,-0.75,,SharpConsensus,1761781729.0,,,,,,
907519064-1,2025-10-28,FOOTBALL - 305 Jacksonville State -4½ -110,jacksonville state -4½ -11 ...for game,Spread,Lost,33.0,,,10/28/25 10:49 GMT-5,,Desktop - FOOTBALL - 305 Jacksonville State -4½ -110 for GAME,10/29/25 10:05 GMT-5,,10/29/2025,betonline,2025-11-01 16:35:18.436171+00:00,,305.0,Jacksonville State,Jacksonville State,spread,-4.5,-110.0,0.5238095238095238,lost,-33.0,-1.0,0.0,1.0,0.0,-5.625,-56.5,1.125,-53.5,SharpConsensus,1761780317.0,,,,,,
907162798-2,2025-10-28,FOOTBALL - 302 Kennesaw State -10 -110,kennesaw state -10 -110for game,Spread,Won,26.5,24.09,50.59,10/28/25 07:04 GMT-5,,Mobile - FOOTBALL - 302 Kennesaw State -10 -110 for GAME,10/28/25 10:47 GMT-5,,10/28/2025,betonline,2025-11-01 16:35:18.436199+00:00,Won,302.0,Kennesaw State,Kennesaw State,spread,-10.0,-110.0,0.5238095238095238,won,24.090000000000003,0.909056603773585,1.0,0.0,0.0,-11.5,-110.0,1.5,0.0,SharpConsensus,1761696019.0,,,,,,
907162798-1,2025-10-28,FOOTBALL - 303 James Madison/Texas State over 55½ -110,james madison/texas state  ...-110 for game for Game,Total,Won,26.5,24.09,50.59,10/28/25 07:04 GMT-5,,Mobile - FOOTBALL - 303 James Madison/Texas State over 55½ -110 for GAME,10/28/25 10:47 GMT-5,,10/28/2025,betonline,2025-11-01 16:35:18.436230+00:00,Won,303.0,James Madison/Texas State over,Over,total,55.5,-110.0,0.5238095238095238,won,24.090000000000003,0.909056603773585,1.0,0.0,0.0,55.5,,0.0,,SharpConsensus,1761695914.0,,,,,,
,,Maryland +21.5 vs Indiana,,,Pending,,20.0,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:35:18.438464+00:00,,,Maryland +21.5 vs Indiana,Maryland +21.5 vs Indiana,spread,21.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Point Spread,-110.0,22.0,42.0,1.9090909090909092
,,Columbia Lions,,,Pending,,23.860000000000003,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561087+00:00,,,Columbia Lions,Columbia Lions,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,1110,2.15,26.01,1110.0
,,Holy Cross Crusaders,,,Pending,,20.25,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561122+00:00,,,Holy Cross Crusaders,Holy Cross Crusaders,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,135,15.0,35.25,135.0
,,Morehead State -12.5,,,Pending,,10.0,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561156+00:00,,,Morehead State -12.5,Morehead State -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,11.0,21.0,1.9090909090909092
,,UConn -12.5,,,Pending,,30.0,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561187+00:00,,,UConn -12.5,UConn -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,33.0,63.0,1.9090909090909092
,,Navy +6.5,,,Pending,,15.450000000000005,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561214+00:00,,,Navy +6.5,Navy +6.5,spread,6.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,17.0,32.45,1.9090909090909092
,,Mississippi -470 / Virginia -230 / San Diego State -415,,,Pending,,4.900000000000002,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561241+00:00,,,Mississippi -470 / Virginia -230 / San Diego State -415,Mississippi -470 / Virginia -230 / San Diego State -415,moneyline,,-470.0,0.8245614035087719,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Parlay,Parlay,30.77,35.67,
,,Navy/North Texas over 34.5 1H,,,Pending,,-1.5700000000000005,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561269+00:00,,,Navy/North Texas over 34.5 1H,Navy/North Texas over 34.5 1H,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Total,-115,12.0,10.43,1.869565217391304
,,Ohio State -10 1H vs Penn State,,,Pending,,-3.41,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561293+00:00,,,Ohio State -10 1H vs Penn State,Ohio State -10 1H vs Penn State,spread,-10.0,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Spread,-117,23.5,20.09,1.8547008547008548
,,Columbia Lions,,,Pending,,23.860000000000003,,,,,,,,week10_fliff_betonline_combined,,,,Columbia Lions,Columbia Lions,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,1110,2.15,26.01,1110.0
,,Holy Cross Crusaders,,,Pending,,20.25,,,,,,,,week10_fliff_betonline_combined,,,,Holy Cross Crusaders,Holy Cross Crusaders,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,135,15.0,35.25,135.0
,,Morehead State -12.5,,,Pending,,10.0,,,,,,,,week10_fliff_betonline_combined,,,,Morehead State -12.5,Morehead State -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,11.0,21.0,1.9090909090909092
,,UConn -12.5,,,Pending,,30.0,,,,,,,,week10_fliff_betonline_combined,,,,UConn -12.5,UConn -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,33.0,63.0,1.9090909090909092
,,Navy +6.5,,,Pending,,15.450000000000005,,,,,,,,week10_fliff_betonline_combined,,,,Navy +6.5,Navy +6.5,spread,6.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,17.0,32.45,1.9090909090909092
,,Mississippi -470 / Virginia -230 / San Diego State -415,,,Pending,,4.900000000000002,,,,,,,,week10_fliff_betonline_combined,,,,Mississippi -470 / Virginia -230 / San Diego State -415,Mississippi -470 / Virginia -230 / San Diego State -415,moneyline,,-470.0,0.8245614035087719,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Parlay,Parlay,30.77,35.67,
,,Navy/North Texas over 34.5 1H,,,Pending,,-1.5700000000000005,,,,,,,,week10_fliff_betonline_combined,,,,Navy/North Texas over 34.5 1H,Navy/North Texas over 34.5 1H,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Total,-115,12.0,10.43,1.869565217391304
,,Ohio State -10 1H vs Penn State,,,Pending,,-3.41,,,,,,,,week10_fliff_betonline_combined,,,,Ohio State -10 1H vs Penn State,Ohio State -10 1H vs Penn State,spread,-10.0,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Spread,-117,23.5,20.09,1.8547008547008548
,,Maryland +21.5 vs Indiana,,,Pending,,20.0,,,,,,,,week10_fliff_betonline_combined,,,,Maryland +21.5 vs Indiana,Maryland +21.5 vs Indiana,spread,21.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Point Spread,-110,22.0,42.0,1.9090909090909092
